Case_ID,Sample_ID,Age_2010,Race,Sex,Highest_Grade_Completed,Marital_Status,Region,Income_Year,Income,avg_LT_rate,income_type
2,5,51,Non-Black/Non-Hispanic,Female,1ST YEAR COLLEGE,Married,Northeast,2006,5500,4.76882,Inlier
2,5,51,Non-Black/Non-Hispanic,Female,1ST YEAR COLLEGE,Married,Northeast,2008,5000,4.556494023904381,Inlier
2,5,51,Non-Black/Non-Hispanic,Female,1ST YEAR COLLEGE,Married,Northeast,2010,6000,3.9247597609561753,Inlier
6,1,49,Non-Black/Non-Hispanic,Male,4TH YEAR COLLEGE,Married,North Central,2000,40000,6.186852589641434,Inlier
6,1,49,Non-Black/Non-Hispanic,Male,4TH YEAR COLLEGE,Married,North Central,2002,43500,5.480178064516129,Inlier
6,1,49,Non-Black/Non-Hispanic,Male,4TH YEAR COLLEGE,Married,North Central,2004,56500,4.845420000000001,Inlier
6,1,49,Non-Black/Non-Hispanic,Male,4TH YEAR COLLEGE,Married,North Central,2006,65000,4.76882,Inlier
6,1,49,Non-Black/Non-Hispanic,Male,4TH YEAR COLLEGE,Married,North Central,2008,86000,4.556494023904381,Inlier
6,1,49,Non-Black/Non-Hispanic,Male,4TH YEAR COLLEGE,Married,North Central,2010,90300,3.9247597609561753,Inlier
7,1,45,Non-Black/Non-Hispanic,Male,12TH GRADE,Divorced,Northeast,2000,25000,6.186852589641434,Inlier
7,1,45,Non-Black/Non-Hispanic,Male,12TH GRADE,Divorced,Northeast,2002,27500,5.480178064516129,Inlier
7,1,45,Non-Black/Non-Hispanic,Male,12TH GRADE,Divorced,Northeast,2004,30000,4.845420000000001,Inlier
7,1,45,Non-Black/Non-Hispanic,Male,12TH GRADE,Divorced,Northeast,2006,19000,4.76882,Inlier
7,1,45,Non-Black/Non-Hispanic,Male,12TH GRADE,Divorced,Northeast,2008,32500,4.556494023904381,Inlier
8,6,51,Non-Black/Non-Hispanic,Female,2ND YEAR COLLEGE,Married,Northeast,2000,27400,6.186852589641434,Inlier
8,6,51,Non-Black/Non-Hispanic,Female,2ND YEAR COLLEGE,Married,Northeast,2002,31500,5.480178064516129,Inlier
8,6,51,Non-Black/Non-Hispanic,Female,2ND YEAR COLLEGE,Married,Northeast,2004,34000,4.845420000000001,Inlier
8,6,51,Non-Black/Non-Hispanic,Female,2ND YEAR COLLEGE,Married,Northeast,2006,36000,4.76882,Inlier
8,6,51,Non-Black/Non-Hispanic,Female,2ND YEAR COLLEGE,Married,Northeast,2008,41000,4.556494023904381,Inlier
8,6,51,Non-Black/Non-Hispanic,Female,2ND YEAR COLLEGE,Married,Northeast,2010,41999,3.9247597609561753,Inlier
9,1,46,Non-Black/Non-Hispanic,Male,2ND YEAR COLLEGE,Married,Northeast,2000,52000,6.186852589641434,Inlier
9,1,46,Non-Black/Non-Hispanic,Male,2ND YEAR COLLEGE,Married,Northeast,2002,50000,5.480178064516129,Inlier
9,1,46,Non-Black/Non-Hispanic,Male,2ND YEAR COLLEGE,Married,Northeast,2004,55000,4.845420000000001,Inlier
9,1,46,Non-Black/Non-Hispanic,Male,2ND YEAR COLLEGE,Married,Northeast,2006,65000,4.76882,Inlier
9,1,46,Non-Black/Non-Hispanic,Male,2ND YEAR COLLEGE,Married,Northeast,2008,50000,4.556494023904381,Inlier
9,1,46,Non-Black/Non-Hispanic,Male,2ND YEAR COLLEGE,Married,Northeast,2010,52000,3.9247597609561753,Inlier
14,5,46,Non-Black/Non-Hispanic,Female,6TH YEAR COLLEGE,Divorced,Northeast,2000,48000,6.186852589641434,Inlier
14,5,46,Non-Black/Non-Hispanic,Female,6TH YEAR COLLEGE,Divorced,Northeast,2002,66000,5.480178064516129,Inlier
14,5,46,Non-Black/Non-Hispanic,Female,6TH YEAR COLLEGE,Divorced,Northeast,2004,89000,4.845420000000001,Inlier
14,5,46,Non-Black/Non-Hispanic,Female,6TH YEAR COLLEGE,Divorced,Northeast,2008,85000,4.556494023904381,Inlier
14,5,46,Non-Black/Non-Hispanic,Female,6TH YEAR COLLEGE,Divorced,Northeast,2010,95000,3.9247597609561753,Inlier
16,5,51,Non-Black/Non-Hispanic,Female,1ST YEAR COLLEGE,Divorced,Northeast,2000,38000,6.186852589641434,Inlier
16,5,51,Non-Black/Non-Hispanic,Female,1ST YEAR COLLEGE,Divorced,Northeast,2002,39000,5.480178064516129,Inlier
16,5,51,Non-Black/Non-Hispanic,Female,1ST YEAR COLLEGE,Divorced,Northeast,2004,65000,4.845420000000001,Inlier
16,5,51,Non-Black/Non-Hispanic,Female,1ST YEAR COLLEGE,Divorced,Northeast,2006,71000,4.76882,Inlier
16,5,51,Non-Black/Non-Hispanic,Female,1ST YEAR COLLEGE,Divorced,Northeast,2008,66000,4.556494023904381,Inlier
16,5,51,Non-Black/Non-Hispanic,Female,1ST YEAR COLLEGE,Divorced,Northeast,2010,64000,3.9247597609561753,Inlier
17,1,53,Non-Black/Non-Hispanic,Male,12TH GRADE,Married,Northeast,2000,48000,6.186852589641434,Inlier
17,1,53,Non-Black/Non-Hispanic,Male,12TH GRADE,Married,Northeast,2002,77000,5.480178064516129,Inlier
17,1,53,Non-Black/Non-Hispanic,Male,12TH GRADE,Married,Northeast,2004,62000,4.845420000000001,Inlier
17,1,53,Non-Black/Non-Hispanic,Male,12TH GRADE,Married,Northeast,2006,43000,4.76882,Inlier
17,1,53,Non-Black/Non-Hispanic,Male,12TH GRADE,Married,Northeast,2008,50000,4.556494023904381,Inlier
17,1,53,Non-Black/Non-Hispanic,Male,12TH GRADE,Married,Northeast,2010,50000,3.9247597609561753,Inlier
18,1,51,Non-Black/Non-Hispanic,Male,1ST YEAR COLLEGE,Divorced,West,2004,80000,4.845420000000001,Inlier
18,1,51,Non-Black/Non-Hispanic,Male,1ST YEAR COLLEGE,Divorced,West,2008,100000,4.556494023904381,Inlier
18,1,51,Non-Black/Non-Hispanic,Male,1ST YEAR COLLEGE,Divorced,West,2010,60000,3.9247597609561753,Inlier
21,5,48,Non-Black/Non-Hispanic,Female,4TH YEAR COLLEGE,Married,Northeast,2000,82000,6.186852589641434,Inlier
